Date,Hospital Admissions
8 de mai. de 2021,164
9 de mai. de 2021,159
10 de mai. de 2021,134
11 de mai. de 2021,166
12 de mai. de 2021,148
13 de mai. de 2021,144
14 de mai. de 2021,102
15 de mai. de 2021,168
16 de mai. de 2021,105
17 de mai. de 2021,99
18 de mai. de 2021,131
19 de mai. de 2021,141
20 de mai. de 2021,121
21 de mai. de 2021,127
22 de mai. de 2021,123
23 de mai. de 2021,88
24 de mai. de 2021,76
25 de mai. de 2021,90
26 de mai. de 2021,110
27 de mai. de 2021,91
28 de mai. de 2021,83
29 de mai. de 2021,92
30 de mai. de 2021,69
31 de mai. de 2021,56
1 de jun. de 2021,92
2 de jun. de 2021,81
3 de jun. de 2021,75
4 de jun. de 2021,74
5 de jun. de 2021,76
6 de jun. de 2021,46
7 de jun. de 2021,42
8 de jun. de 2021,73
9 de jun. de 2021,65
10 de jun. de 2021,48
11 de jun. de 2021,47
12 de jun. de 2021,45
13 de jun. de 2021,25
14 de jun. de 2021,40
15 de jun. de 2021,45
16 de jun. de 2021,27
17 de jun. de 2021,33
18 de jun. de 2021,29
19 de jun. de 2021,33
20 de jun. de 2021,28
21 de jun. de 2021,27
22 de jun. de 2021,24
23 de jun. de 2021,29
24 de jun. de 2021,30
25 de jun. de 2021,15
26 de jun. de 2021,24
27 de jun. de 2021,12
28 de jun. de 2021,15
29 de jun. de 2021,18
30 de jun. de 2021,14
1 de jul. de 2021,7
2 de jul. de 2021,22
3 de jul. de 2021,17
4 de jul. de 2021,16
5 de jul. de 2021,11
6 de jul. de 2021,24
7 de jul. de 2021,28
8 de jul. de 2021,7
9 de jul. de 2021,20
10 de jul. de 2021,16
11 de jul. de 2021,12
12 de jul. de 2021,15
13 de jul. de 2021,28
14 de jul. de 2021,22
15 de jul. de 2021,29
16 de jul. de 2021,27
17 de jul. de 2021,28
18 de jul. de 2021,20
19 de jul. de 2021,27
20 de jul. de 2021,30
21 de jul. de 2021,28
22 de jul. de 2021,28
23 de jul. de 2021,27
24 de jul. de 2021,34
25 de jul. de 2021,27
26 de jul. de 2021,25
27 de jul. de 2021,39
28 de jul. de 2021,43
29 de jul. de 2021,37
30 de jul. de 2021,27
31 de jul. de 2021,42
1 de ago. de 2021,38
2 de ago. de 2021,41
3 de ago. de 2021,44
4 de ago. de 2021,40
5 de ago. de 2021,38
6 de ago. de 2021,43
7 de ago. de 2021,52
8 de ago. de 2021,45
9 de ago. de 2021,51
10 de ago. de 2021,64
11 de ago. de 2021,45
12 de ago. de 2021,58
13 de ago. de 2021,66
14 de ago. de 2021,53
15 de ago. de 2021,47
16 de ago. de 2021,49
17 de ago. de 2021,84
18 de ago. de 2021,66
19 de ago. de 2021,60
20 de ago. de 2021,49
21 de ago. de 2021,59
22 de ago. de 2021,45
23 de ago. de 2021,59
24 de ago. de 2021,74
25 de ago. de 2021,57
26 de ago. de 2021,57
27 de ago. de 2021,58
28 de ago. de 2021,69
29 de ago. de 2021,47
30 de ago. de 2021,58
31 de ago. de 2021,83
1 de set. de 2021,66
2 de set. de 2021,74
3 de set. de 2021,66
4 de set. de 2021,80
5 de set. de 2021,56
6 de set. de 2021,66
7 de set. de 2021,82
8 de set. de 2021,64
9 de set. de 2021,64
10 de set. de 2021,61
11 de set. de 2021,47
12 de set. de 2021,42
13 de set. de 2021,58
14 de set. de 2021,77
15 de set. de 2021,62
16 de set. de 2021,77
17 de set. de 2021,56
18 de set. de 2021,57
19 de set. de 2021,43
20 de set. de 2021,46
21 de set. de 2021,60
22 de set. de 2021,61
23 de set. de 2021,65
24 de set. de 2021,32
25 de set. de 2021,52
26 de set. de 2021,39
27 de set. de 2021,55
28 de set. de 2021,72
29 de set. de 2021,66
30 de set. de 2021,64
1 de out. de 2021,62
2 de out. de 2021,63
3 de out. de 2021,44
4 de out. de 2021,42
5 de out. de 2021,75
6 de out. de 2021,62
7 de out. de 2021,54
8 de out. de 2021,64
9 de out. de 2021,53
10 de out. de 2021,41
11 de out. de 2021,50
12 de out. de 2021,70
13 de out. de 2021,70
14 de out. de 2021,78
15 de out. de 2021,61
16 de out. de 2021,97
17 de out. de 2021,59
18 de out. de 2021,82
19 de out. de 2021,107
20 de out. de 2021,130
21 de out. de 2021,121
22 de out. de 2021,126
23 de out. de 2021,114
24 de out. de 2021,94
25 de out. de 2021,122
26 de out. de 2021,158
27 de out. de 2021,158
28 de out. de 2021,150
29 de out. de 2021,185
30 de out. de 2021,187
31 de out. de 2021,112
1 de nov. de 2021,125
2 de nov. de 2021,168
3 de nov. de 2021,237
4 de nov. de 2021,201
5 de nov. de 2021,179
6 de nov. de 2021,178
7 de nov. de 2021,154
8 de nov. de 2021,175
9 de nov. de 2021,260
10 de nov. de 2021,291
11 de nov. de 2021,227
12 de nov. de 2021,177
13 de nov. de 2021,283
14 de nov. de 2021,209
15 de nov. de 2021,209
16 de nov. de 2021,288
17 de nov. de 2021,318
18 de nov. de 2021,295
19 de nov. de 2021,312
20 de nov. de 2021,294
21 de nov. de 2021,251
22 de nov. de 2021,243
23 de nov. de 2021,366
24 de nov. de 2021,344
25 de nov. de 2021,354
26 de nov. de 2021,323
27 de nov. de 2021,322
28 de nov. de 2021,245
29 de nov. de 2021,277
30 de nov. de 2021,386
1 de dez. de 2021,350
2 de dez. de 2021,325
3 de dez. de 2021,298
4 de dez. de 2021,312
5 de dez. de 2021,226
6 de dez. de 2021,208
7 de dez. de 2021,332
8 de dez. de 2021,295
9 de dez. de 2021,309
10 de dez. de 2021,292
11 de dez. de 2021,265
12 de dez. de 2021,207
13 de dez. de 2021,186
14 de dez. de 2021,288
15 de dez. de 2021,231
16 de dez. de 2021,186
17 de dez. de 2021,179
18 de dez. de 2021,175
19 de dez. de 2021,130
20 de dez. de 2021,141
21 de dez. de 2021,171
22 de dez. de 2021,170
23 de dez. de 2021,146
24 de dez. de 2021,125
25 de dez. de 2021,134
26 de dez. de 2021,109
27 de dez. de 2021,95
28 de dez. de 2021,169
29 de dez. de 2021,146
30 de dez. de 2021,164
31 de dez. de 2021,159
1 de jan. de 2022,154
2 de jan. de 2022,150
3 de jan. de 2022,151
4 de jan. de 2022,217
5 de jan. de 2022,191
6 de jan. de 2022,180
7 de jan. de 2022,189
8 de jan. de 2022,201
9 de jan. de 2022,156
10 de jan. de 2022,140
11 de jan. de 2022,199
12 de jan. de 2022,209
13 de jan. de 2022,189
14 de jan. de 2022,234
15 de jan. de 2022,266
16 de jan. de 2022,163
17 de jan. de 2022,176
18 de jan. de 2022,296
19 de jan. de 2022,310
20 de jan. de 2022,346
21 de jan. de 2022,344
22 de jan. de 2022,318
23 de jan. de 2022,278
24 de jan. de 2022,309
25 de jan. de 2022,413
26 de jan. de 2022,347
27 de jan. de 2022,412
28 de jan. de 2022,417
29 de jan. de 2022,360
30 de jan. de 2022,265
31 de jan. de 2022,335
1 de fev. de 2022,424
2 de fev. de 2022,363
3 de fev. de 2022,391
4 de fev. de 2022,338
5 de fev. de 2022,307
6 de fev. de 2022,286
7 de fev. de 2022,294
8 de fev. de 2022,301
9 de fev. de 2022,295
10 de fev. de 2022,263
11 de fev. de 2022,321
12 de fev. de 2022,282
13 de fev. de 2022,202
14 de fev. de 2022,160
15 de fev. de 2022,303
16 de fev. de 2022,242
17 de fev. de 2022,213
18 de fev. de 2022,200
19 de fev. de 2022,202
20 de fev. de 2022,148
21 de fev. de 2022,160
22 de fev. de 2022,194
23 de fev. de 2022,186
24 de fev. de 2022,166
25 de fev. de 2022,148
26 de fev. de 2022,114
27 de fev. de 2022,83
28 de fev. de 2022,112
1 de mar. de 2022,160
2 de mar. de 2022,168
3 de mar. de 2022,144
4 de mar. de 2022,151
5 de mar. de 2022,129
6 de mar. de 2022,121
7 de mar. de 2022,116
8 de mar. de 2022,174
9 de mar. de 2022,162
10 de mar. de 2022,150
11 de mar. de 2022,160
12 de mar. de 2022,160
13 de mar. de 2022,102
14 de mar. de 2022,162
15 de mar. de 2022,200
16 de mar. de 2022,190
17 de mar. de 2022,169
18 de mar. de 2022,204
19 de mar. de 2022,158
20 de mar. de 2022,143
21 de mar. de 2022,145
22 de mar. de 2022,231
23 de mar. de 2022,234
24 de mar. de 2022,209
25 de mar. de 2022,224
26 de mar. de 2022,202
27 de mar. de 2022,173
28 de mar. de 2022,180
29 de mar. de 2022,261
30 de mar. de 2022,236
31 de mar. de 2022,268
1 de abr. de 2022,232
2 de abr. de 2022,199
3 de abr. de 2022,159
4 de abr. de 2022,154
